               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068267,            0.044674,             0.01377,             0.62385,             0.68648,             0.69402,             0.34011,            0.044627,            0.019617,           0.0033559,            0.070065,           0.0033261,           0.0033261
                   1,            0.047599,            0.034432,           0.0040749,             0.82348,             0.82546,             0.88769,             0.49339,             0.03764,            0.016769,           0.0024139,            0.039933,           0.0065276,           0.0065276
                   2,            0.041111,            0.031791,           0.0034209,             0.86994,             0.83782,             0.91236,             0.58292,             0.03115,            0.016433,           0.0022501,           0.0096695,            0.009597,            0.009597
                   3,            0.036894,            0.030957,           0.0030973,             0.84626,             0.84007,             0.90455,             0.58538,            0.029544,            0.016749,           0.0017866,            0.009406,            0.009406,            0.009406
                   4,            0.033792,            0.030899,           0.0027454,             0.86005,              0.8503,               0.915,             0.62076,            0.027984,            0.016202,           0.0016233,            0.009406,            0.009406,            0.009406
                   5,            0.031577,            0.029479,             0.00228,             0.88199,             0.87368,             0.93399,             0.61836,            0.027924,            0.015387,           0.0014002,            0.009208,            0.009208,            0.009208
                   6,            0.030163,            0.029054,           0.0022348,             0.89795,             0.87296,             0.94071,             0.65416,            0.026202,            0.014809,           0.0013303,             0.00901,             0.00901,             0.00901
                   7,            0.029294,            0.028692,           0.0021274,             0.88142,             0.88891,             0.93759,             0.67048,            0.023878,            0.014812,            0.001174,            0.008812,            0.008812,            0.008812
                   8,            0.028106,              0.0279,           0.0019211,             0.89472,             0.90372,             0.95118,             0.68624,             0.02407,            0.014083,           0.0010825,            0.008614,            0.008614,            0.008614
                   9,            0.027874,            0.027597,           0.0017194,             0.88266,              0.8987,             0.94306,             0.67547,            0.023866,            0.014373,           0.0011498,            0.008416,            0.008416,            0.008416
                  10,            0.027068,            0.027223,           0.0017195,             0.90342,             0.90542,             0.95605,              0.7117,            0.022645,            0.013766,            0.001004,            0.008218,            0.008218,            0.008218
                  11,            0.026537,            0.026581,           0.0016829,             0.90307,             0.89142,             0.94902,             0.70215,            0.022771,            0.013958,           0.0012189,             0.00802,             0.00802,             0.00802
                  12,            0.026319,            0.027061,           0.0016267,             0.90412,             0.91319,             0.95203,               0.712,            0.022335,            0.013764,           0.0010469,            0.007822,            0.007822,            0.007822
                  13,            0.025646,            0.026342,           0.0015387,             0.91109,             0.91029,             0.95387,             0.71425,            0.022392,            0.013745,           0.0010098,            0.007624,            0.007624,            0.007624
                  14,            0.025389,            0.025993,           0.0014112,             0.90511,             0.90622,             0.95298,             0.71343,            0.022159,            0.013731,            0.001117,            0.007426,            0.007426,            0.007426
                  15,            0.024822,             0.02596,           0.0014206,             0.90897,             0.90806,             0.95532,             0.72419,            0.021547,            0.013479,           0.0009335,            0.007228,            0.007228,            0.007228
                  16,            0.024549,            0.025607,           0.0014746,             0.90973,             0.91094,             0.95649,             0.72772,            0.021483,            0.013487,          0.00092685,             0.00703,             0.00703,             0.00703
                  17,            0.024148,            0.025377,           0.0013761,             0.91218,             0.91458,             0.95628,             0.72656,            0.021744,            0.013437,          0.00091717,            0.006832,            0.006832,            0.006832
                  18,            0.023991,            0.025108,           0.0013098,             0.91359,             0.92026,             0.95664,             0.72942,            0.021291,            0.013164,          0.00087649,            0.006634,            0.006634,            0.006634
                  19,             0.02381,            0.024624,            0.001295,             0.91165,               0.921,             0.95779,             0.73393,            0.021389,             0.01315,          0.00084901,            0.006436,            0.006436,            0.006436
                  20,            0.023346,            0.024187,           0.0012791,             0.90968,             0.92412,             0.96069,             0.74333,            0.020697,            0.012987,          0.00089522,            0.006238,            0.006238,            0.006238
                  21,            0.023341,            0.024527,           0.0012621,             0.91634,             0.91945,             0.96061,             0.74621,            0.020578,            0.012958,          0.00081473,             0.00604,             0.00604,             0.00604
                  22,            0.022861,             0.02408,           0.0011694,             0.91547,             0.92036,              0.9627,             0.74602,            0.020587,            0.012782,          0.00081525,            0.005842,            0.005842,            0.005842
                  23,            0.022593,            0.023848,           0.0011608,             0.91253,             0.92121,             0.95982,             0.74511,            0.020533,            0.012822,          0.00088191,            0.005644,            0.005644,            0.005644
                  24,            0.022667,            0.024035,            0.001187,             0.91289,             0.92153,             0.95974,             0.74771,             0.02028,            0.012811,          0.00088114,            0.005446,            0.005446,            0.005446
                  25,            0.022358,            0.024217,           0.0011665,             0.92805,             0.91161,             0.96323,             0.75342,            0.020005,            0.012688,          0.00083319,            0.005248,            0.005248,            0.005248
                  26,            0.021988,             0.02387,           0.0010565,             0.92245,             0.92254,             0.96424,             0.75752,            0.020025,            0.012699,          0.00079733,             0.00505,             0.00505,             0.00505
                  27,            0.021763,            0.023653,           0.0010937,             0.91703,             0.92492,             0.96236,              0.7543,            0.020001,            0.012768,          0.00079827,            0.004852,            0.004852,            0.004852
                  28,             0.02173,            0.023626,           0.0010458,             0.92431,             0.92076,             0.96274,             0.75537,            0.019934,            0.012808,           0.0007283,            0.004654,            0.004654,            0.004654
                  29,            0.021383,            0.023409,          0.00099675,             0.91801,             0.92075,             0.96181,             0.75812,            0.019689,            0.012822,          0.00078943,            0.004456,            0.004456,            0.004456
